handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_eb90318a-69c7-f3fc-f31f-cc3435b85a45,Product,Dardox Konig 5lt.,"<p>Dardox es un antiparasitario externo de aplicación tópica, formulado a base de la combinación de flumetrina y eprinomectina. Está autorizado para el control estratégico de garrapatas, sarna y piojos chupadores y masticadores.&nbsp;Dardox es el primer pour on sarnicida, garrapaticida y piojicida del mercado. Posee 7 características como producto para el control de parásitos externos: su efecto garrapaticida, sarnicida, piojicida, su bajo tiempo de retiro de 5 días en carne y 24 hs en leche, y su alta biodisponibilidad lo convierten en un producto de primera elección.&nbsp;- Para: Bovinos.</p>",06b954_6a7d4ff81e2e468f81373e81e89c20b9~mv2.png,Productos del Mes;Bovinos;Antiparasitarios Pour-on;Sarna;Konig;Veterinaria;Antiparasitarios Externos,,,480862.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Indicaciones:&nbsp;Para el tratamiento y control de parásitos externos: Ácaro de la sarna: Psoroptes spp. Sarcoptes scabiei (Sarcoptes bovis), Chorioptes bovis, Demodex bovis. Garrapatas: Rhipicephalus (Boophilus) microplus, Rhipicephalus sanguineus, Ixodes ricinus, Dermacentor reticulatus. Piojos: piojos chupadores (Anoplura): Linognatus vituli, Haematopinus eurysternus, Solenoptes capilatus y piojos masticadores (Mallophaga): Damalinia (Bovicola) bovis.</p>

<p>Se debe contar con un sistema apropiado de dosificación, como pistola dosificadora.</p>

<p>Dardox puede aplicarse sosteniendo el envase en forma vertical. Para ello reemplazar la tapa “ciega” original del envase, por la tapa dosificadora conectada al tubo pescante. También puede utilizarse en forma invertida, en ese caso reemplazar únicamente la tapa “ciega” por la tapa dosificadora. En todos los casos asegurarse que la rosca de la tapa quede bien ajustada.</p>

<p>Conecte la manguera de la pistola dosificadora (calibre 6.4 mm o 9.5 mm) a la espita de la tapa dosificadora y llene cuidadosamente la pistola dosificadora comprobando que no haya fugas de producto.</p>

<p>Seguir las instrucciones del fabricante de la pistola para el ajuste de la dosis y el mantenimiento adecuado del tubo de conexión y de la pistola dosificadora.</p>

<p>&nbsp;</p>

<p>Drogas:&nbsp;Cada 100 mL contiene:</p>

<p>Eprinomectina 0,5 g;</p>

<p>Flumetrina 2 g;</p>

<p>Butóxido de piperonilo 6g;</p>

<p>excipientes c.s.</p>

<p>&nbsp;</p>

<p>Animales: Bovinos.</p>

<p>&nbsp;</p>

<p>Contenido: 5l.&nbsp;con doble tapa actuadora de última tecnología permitiendo el uso del mismo en ambos sentidos garantizando las buenas prácticas de aplicación del producto.</p>

<p>&nbsp;</p>

<p>Dosis y Administaración:&nbsp;Administrar sobre la piel limpia del animal desde la cruz hasta la base de la cola, en dos franjas: una a cada lado de la línea media dorsal.</p>

<p>La dosis es de 10 mL/ 100 kg p.v (2 mg/kg de flumetrina; 0,5 mg/kg de eprinomectina y 6 mg/kg de butóxido de piperonilo).</p>

<p>Establecer la dosis en base al kilaje del animal más pesado del grupo. Si la variación de peso dentro del grupo es muy grande establecer sub grupos para evitar la sobredosificación y subdosificación del producto.</p>
",+ INFO,"<p><a href=""https://www.koniglab.com/en/producto/dardox/"" target=""_blank"">https://www.koniglab.com/en/producto/dardox/</a></p>
",,,,,,,,,,,,,,,
product_63b2be70-b606-1d59-5255-2c1c93a8d272,Product,"Pomada Curabichera Bactrovet Plata Konig 1,2kg.","<p>Antimiásico, repelente, bactericida, antifúngico, cicatrizante, epitelizador y hemostático - Tratamiento de todo tipo de heridas en todas las especies -&nbsp;Tratamiento y prevención de bicheras en intervenciones quirúrgicas como castración, y heridas de cualquier origen -&nbsp;Heridas en general.&nbsp;- &nbsp;Para: Bovinos y Equinos.</p>",06b954_80d24fdf84a94958a3d4bc9e26cafa2d~mv2.png,Bovinos;Konig;Destacados;Veterinaria;Antiparasitarios Externos;Equinos,,,46430.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Pomada curabichera.</p>

<p>&nbsp;</p>

<p>Indicaciones:<br>
Tratamiento de todo tipo de heridas en todas las especies. Tratamiento y prevención de bicheras en intervenciones quirúrgicas como castración, y heridas de cualquier origen. Heridas en general.</p>

<p>&nbsp;</p>

<p>Drogas:&nbsp;Cada 100 gramos contiene:</p>

<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Sulfadiazina de Plata, 0,1 gr.</p>

<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Aluminio, 5,0 gr.</p>

<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Imidacloprid 0,7 gr.</p>

<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Cipermetrina 3,0 gr.</p>

<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Excipientes c.s.</p>

<p>&nbsp;</p>

<p>Animales: Bovinos - Equinos.</p>

<p>&nbsp;</p>

<p>Contenido: 455gr.</p>

<p>&nbsp;</p>

<p>Dosis y Administaración:&nbsp;Colocar la pasta en capas sobre el área a tratar, asegurando la penetración del producto dentro de la herida. Aplicar también alrededor de la misma, formando un halo de 5 cm. El número de aplicaciones depende del tipo de herida y de las condiciones ambientales. El color plateado identifica que el animal ha sido tratado. El numero de aplicaciones como preventivo depende del tipo de herida y las condiciones ambientales. En caso de usarse como preventivo es suficiente una sola aplicación.</p>
",+ INFO,"<p><a href=""http://www.koniglab.com/producto/bactrovet-plata-pasta/"" target=""_blank"">http://www.koniglab.com/producto/bactrovet-plata-pasta/</a></p>
",,,,,,,,,,,,,,,
product_ec15408d-dd50-5067-491b-751d6f7d4e26,Product,Bovikalc Boehringer Ingelheim x 24 Bolos,<p>Aporte de calcio por via oral. - Para Bovinos.</p>,06b954_3e40ada2544b4f5e8929fb9dccaea570~mv2.png,Bovinos;Boehringer Ingelheim;Vitamínicos y Mineralizantes;Veterinaria,,,281051.75,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Indicaciones:&nbsp;Aporte de calcio por via oral.</p>

<p>&nbsp;</p>

<p>Drogas:&nbsp;Cloruro de calcio, Sulfato de calcio&nbsp;mono y diglicéridos de ácidos grasos esterificados con ácido acético.</p>

<p>Calcio: 22.2%.</p>

<p>Humedad: 32%.</p>

<p>Bovikalc® no contiene sodio, ni fósforo ni magnesio.</p>

<p>&nbsp;</p>

<p>Animales: Bovinos.</p>

<p>&nbsp;</p>

<p>Contenido: Caja x 24 bolos de 192 gr cada uno.</p>

<p>&nbsp;</p>

<p>Dosis y Administración:&nbsp;1° bolo inmediato (luego del parto). 2° bolo intervalo de 12-15 hs, después del 1° bolo. Bovikalc® no debe ser utilizado en vacas con signos clínicos de hipocalcemia. Primero tratar por vía endovenosa.</p>
",+ INFO,"<p><a href=""https://www.boehringer-ingelheim.com/sa/salud-animal/productos/bovikalcr"" target=""_blank"">https://www.boehringer-ingelheim.com/sa/salud-animal/productos/bovikalcr</a></p>
",,,,,,,,,,,,,,,
product_85038c9f-69e4-6354-d478-148632ef0cac,Product,Ecto Tak Zoovet x 5lt.,<p>Antiparasitario externo - Garrapaticida sistémico pour on</p><p>- Para: Bovinos.</p>,06b954_b76e8ffb68fa40b88beefe2eb7e66736~mv2.png,Zoovet;Bovinos;Antiparasitarios Pour-on;Veterinaria;Antiparasitarios Externos,,Consultar precio,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Indicaciones: Antiparasitario externo, garrapaticida sistémico para bovinos. Actúa inhibiendo la síntesis de la quitina.</p>

<p>&nbsp;</p>

<p>Drogas: Fluazurón 2,5%.</p>

<p>&nbsp;</p>

<p>Animales: Bovinos.</p>

<p>&nbsp;</p>

<p>Contenido: 5l.</p>

<p>&nbsp;</p>

<p>Dosis y Administaración:&nbsp;Derrame tópico (Pour-on).</p>

<p>10 ml cada 100 kg de peso (2,5 mg/kg de Fluazurón). Intervalo entre dosis y duración del tratamiento: La primera dosis conviene aplicarla 2-3 semanas antes de la presentación habitual de las garrapatas. Luego aplicar cada 1 a 3 meses de acuerdo a la carga parasitaria de los animales o según criterio del profesional veterinario.</p>
",+ INFO,"<p><a href=""https://www.zoovet.com.ar/grandes-animales/item/328-ecto-tak"" target=""_blank"">https://www.zoovet.com.ar/grandes-animales/item/328-ecto-tak</a></p>
",,,,,,,,,,,,,,,
product_d9f89f7f-29ca-dff0-4fb1-2be877d70856,Product,Hepatone Richmond 250ml.,"<p>Protector y estimulante de la función hepática&nbsp;- Para: Bovinos, Equinos y Ovinos.</p>",06b954_5e5517ddbef14b228e48a75c8af74e95~mv2.png,Antidiarreicos y Carminativos;Richmond;Bovinos;Ovinos;Veterinaria;Equinos,,Consultar precio,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Protector y estimulante de la función hepática</p>

<p>&nbsp;</p>

<p>Indicaciones:</p>

<p>Protege y estimula la actividad hepática. Disfunciones hepáticas como hepatitis, insuficiencia hepática, intoxicaciones por plomo, mercurio, arsénico. Intoxicaciones alimentarias. Cetosis.</p>

<p>&nbsp;</p>

<p>Drogas:&nbsp;<br>
Sorbitol: 21 g<br>
D-L Metionina: 1,5 g<br>
Tiamina HCl: 0,30 g<br>
Ácido Tióctico: 0,20 g<br>
Excipientes c.s.p. 100 mL</p>

<p>&nbsp;</p>

<p>Animales: Bovinos - Ovinos - Equinos.</p>

<p>&nbsp;</p>

<p>Contenido: 250ml.</p>

<p>&nbsp;</p>

<p>Dosis y Administaración: Caballos y Bovinos: 50 a 100 mL totales. Porcinos: 10 a 20 mL. Ovinos: 5 a 10 mL. Perros y Gatos: 1 mL cada 10 kg de peso. Vía parenteral</p>
",+ INFO,"<p><a href=""http://www.richmondvet.com.ar/?seccion=productos&amp;sub=1&amp;cat=30&amp;id=31&amp;pg=1"" target=""_blank"">http://www.richmondvet.com.ar/?seccion=productos&amp;sub=1&amp;cat=30&amp;id=31&amp;pg=1</a></p>
",,,,,,,,,,,,,,,
product_d73e630f-3736-8ed3-312b-adcb58b6043d,Product,DIB 1gr Zoetis Syntex 10 dispositivos.,"<p>El Dispositivo Intravaginal Bovino Zoetis (DIB) es un dispositivo intravaginal impregnado de progesterona utilizado para la regulación del ciclo estral en bovinos.&nbsp;La progesterona liberada a partir de la colocación del dispositivo tiene un papel importante sobre la dinámica folicular ovárica. Los niveles supraluteales &gt; 1 ng/ mL obtenidos a los pocos minutos de la introducción del dispositivo, provocan la regresión del folículo dominante y aceleran el recambio de las ondas foliculares. Esta interrupción de la secreción folicular de estrógeno e inhibina, produce el aumento de FSH responsable del inicio de la siguiente onda folicular. Por otro lado, la extracción del dispositivo provoca la caída de progesterona a niveles subluteales &lt; 1 ng/mL, que inducen el incremento de la frecuencia de los pulsos de LH, el crecimiento y la persistencia del folículo dominante con concentraciones muy altas de estradiol, que provoca por un lado el celo y a nivel endócrino inducen el pico de LH que es seguido por la ovulación.&nbsp;- Para: Bovinos.</p>",06b954_6076b4a48f5446b8bac4e08585606b1a~mv2.png,Bovinos;Sincronizador de Celo y Reproducción;Ovinos;Zoetis;Syntex;Veterinaria,,Consultar precio,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Sincroniza el celo.</p>

<p>Indicaciones:</p>

<p>Control de ciclo estral en vaquillas y vacas exclusivamente. • Tratamiento de anestro postparto. • Disminución del periodo parto-concepción.</p>

<p>&nbsp;</p>

<p>Composición:&nbsp;1 g de progesterona natural.</p>

<p>&nbsp;</p>

<p>Animales: Bovinos.</p>

<p>&nbsp;</p>

<p>Contenido: 10&nbsp;dispositivos intravaginales.</p>

<p>&nbsp;</p>
",,,,,,,,,,,,,,,,,
product_82aba63a-839e-ab8a-aec8-6834247b7cf3,Product,Tiamina Rio de Janeiro 50ml.,<p>Profilaxis y tratamiento de estados carenciales de tiamina..&nbsp;- Para Bovinos y Equinos.</p>,06b954_d7a85f13d08848f7ad4df9f32ae78c6f~mv2.png,Bovinos;Vitamínicos y Mineralizantes;Rio de Janeiro;Veterinaria;Equinos,,Consultar precio,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Indicaciones:&nbsp;La vitamina B1 o tiamina, forma parte de la mayoría de los procesos enzimáticos, esenciales para la oxidación completa de la glucosa. Los tejidos más comprometidos en la carencia de tiamina, son el nervioso y el cardíaco. Su deficiencia (clínica o subclínica), se da por baja ingestión o por destrucción de la misma por presencia de la enzima tiaminasa, a nivel de los alimentos o del organismo. Otra causa es la presencia de sustancias inhibidoras de tiamina en los alimentos. La TIAMINA RJ, se caracteriza por la pureza de su principio activo, y por su técnica de elaboración, que garantizan una óptima estabilidad y concentración del principio activo. Su composición la hace indispensable en tratamientos en vacas caídas por hipocalcemia o compresión nerviosa, atrofia muscular, alteraciones del sistema nervioso.</p>

<p>Drogas:&nbsp;Vitamina B110g</p>

<p>Vehículo c.s.p.100mL</p>

<p>&nbsp;</p>

<p>Animales: Bovinos - Equinos.</p>

<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>

<p>Contenido: 50ml.</p>

<p>&nbsp;</p>

<p>Dosis y Administración:&nbsp;Intramuscular.</p>

<p>Terneros: 0.05 a 0.5 mL por animal. Bovinos adultos: 2 a 10 mL por animal.</p>
",+ INFO,"<p><a href=""http://www.allignanihnos.com.ar/#/landing/detalleProducto/91"" target=""_blank"">http://www.allignanihnos.com.ar/#/landing/detalleProducto/91</a></p>
",,,,,,,,,,,,,,,
product_cf33cc25-4e7a-46d9-f52f-b6238b7d3dc8,Product,Birmicina E25 Burnet 40ml,"<p>el sulfato de estreptomicina es un antibiótico aminoglucósido especialmente orientado hacia los microorganismos Gram negativos y Gram positivos. Difunde con rapidez por todo el organismo alcanzando incluso, al humor acuoso y vítreo. Supera con facilidad la placenta, pasa al líquido amniótico y a la sangre fetal, en la que logra concentraciones cercanas a las de la mitad de la sangre materna.&nbsp;- Para: Bovinos, Ovinos y Equinos.</p>",06b954_9adbe47cf55e45e6be35e349788be894~mv2.png,Antibióticos Inyectables;Bovinos;Ovinos;Otros;Veterinaria;Varios;Equinos,,,5323.4,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>El sulfato de estreptomicina es un antibiótico aminoglucósido especialmente orientado hacia los microorganismos Gram negativos y Gram positivos. Difunde con rapidez por todo el organismo alcanzando incluso, al humor acuoso y vítreo. Supera con facilidad la placenta, pasa al líquido amniótico y a la sangre fetal, en la que logra concentraciones cercanas a las de la mitad de la sangre materna.</p>

<p>&nbsp;</p>

<p>Indicaciones:&nbsp;Tratamiento de colibacilosis o diarrea blanca de las primeras semanas, salmonelosis, pasteurelosis, actinomicosis, actinobacilosis. Infecciones por Klebsiella y Haemophilus. Shigelosis de los potrillos. Disentería hemorrágica y diarrea necrótica del cerdo, enteritis no específicas, onfaloblebitis y para muchas entidades causadas por Trueperella pyogenes (conocida como Actinomyces pyogenes). Leptospirosis aguda, subaguda y crónica. Es de elección en la Vibriosis genital (Campylobacter fetus), tanto para el toro como para la vaca.</p>

<p>&nbsp;</p>

<p>Drogas: Estreptomicina sulfato 25 g.</p>

<p>vehículo c.s.p. 100 ml.</p>

<p>&nbsp;</p>

<p>Animales: Bovinos - Ovinos - Equinos.</p>

<p>&nbsp;</p>

<p>Contenido: 40ml.&nbsp;</p>

<p>&nbsp;</p>

<p>Dosis y Administaración:&nbsp;por vía I.M. profunda (si es posible repartida) cada 12 horas y según la gravedad del caso.</p>

<p>Aplicar según criterio del profesional actuante.</p>

<p>Casos no complicados: 10 mg./kg. de peso.Leptospirosis y Vibriosis genital: 25-30 mg./kg. de peso.</p>

<p>Vibriosis genital del toro: además de la administración parenteral, efectuar un lavaje prepucial con 20 ml. del producto masajeando vigorosamente durante 5 minutos.</p>

<p>Tratamiento de la vaca: se utiliza la infusión intrauterina de un frasco de Birmicina E25 diluída en 50 a 150 ml. de solución fisiológica estéril, repitiendo durante tres días.</p>
",+ INFO,"<p><a href=""https://burnet.com.ar/birmicinae25/"" target=""_blank"">https://burnet.com.ar/birmicinae25/</a></p>
",,,,,,,,,,,,,,,
product_6dcf5100-9be9-6024-0dcb-9aac6829dbad,Product,Lidocalm Pro-Ser x100,<p>Solución anestésica a base de Lidocaína para animales grandes y pequeños.&nbsp;- Para: Bovinos y Equinos.</p>,06b954_d0a12d241ec44a8b8337e41320ec885d~mv2.png,Antibióticos Inyectables;Bovinos;Otros;Veterinaria;Varios;Equinos,,Consultar precio,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Solución anestésica a base de Lidocaína para animales grandes y pequeños.</p>

<p>&nbsp;</p>

<p>Indicaciones:&nbsp;Bloqueo nervioso periférico (anestesia truncular, infiltrativa, etc). Anestesia epidural, infiltración de masas musculares atróficas y/o contracturadas, mialgias, dolores articulares, etc.</p>

<p>&nbsp;</p>

<p>Drogas:&nbsp;Lidocaina:2 g</p>

<p>Excipientes c.s.p:100 mL</p>

<p>&nbsp;</p>

<p>Animales: Bovinos - Equinos.</p>

<p>&nbsp;</p>

<p>Contenido: 100ml.&nbsp;</p>

<p>&nbsp;</p>

<p>Dosis y Administaración:&nbsp;Epidural:</p>

<p>Bovinos:</p>

<p>Epidural posterior: 5-15 mL según talla o intrevención.Duración de la anestesia de 96 a 116 minutos</p>

<p>.Epidural anterior: 25-150 mL desde exteriorización de pene a operación cesárea.</p>

<p>Duración de anestesia de 220 a 360 minutos.</p>

<p>Equinos:Administrar de 10 a 30 mL según talla o intervención.</p>

<p>Intervalo entre dosis:<br>
La anestesia local de la lidocaina dura entre 30 a 45 minutos pudiéndose repetir de ser necesario.<br>
<br>
Infiltración o bloqueo nervioso:<br>
Se repite a dosis decrecientes en un 50 %.<br>
<br>
Epidural:<br>
se recomienda no repetir la dosis.<br>
<br>
La dosis recomendada varía según criterio del Médico Veterinario.</p>
",+ INFO,"<p><a href=""http://www.labproser.com.ar/prod_03.htm​​​​​​​"" target=""_blank"">http://www.labproser.com.ar/prod_03.htm</a></p>
",,,,,,,,,,,,,,,
product_01b61f8c-6be5-5308-76ba-405f1445501a,Product,Fortevit ADE Leon Pharma 100ml.,"<p>Mineralizante - Vitamínico. Solución inyectable.&nbsp;- Para: Bovinos, Equinos y Ovinos.</p>",06b954_6e0573375dc64bceab8f5c9787752e39~mv2.png,Bovinos;Vitamínicos y Mineralizantes;Ovinos;Veterinaria;Leon Pharma;Equinos,,,13698.75,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,INFORMACIÓN DE PRODUCTO,"<p>Indicaciones:</p>

<p>Fortevit ADE es un complejo vitamínico de liberación lenta indicado para la prevención y el tratamiento de estados carenciales de Vitaminas A, D3 y E en épocas de sequías, condiciones nutricionales pobres, reproducción, crecimiento y la recuperación de enfermedades.</p>

<p>&nbsp;</p>

<p>Drogas:&nbsp;Vitamina A 25.000.000 UI</p>

<p>Vitamina D 35.000.000 UI</p>

<p>Vitamina E 5.000 UI</p>

<p>Excipientes c.s.p.100 ml.</p>

<p>&nbsp;</p>

<p>Animales: Bovinos - Equinos - Ovinos.</p>

<p>&nbsp;</p>

<p>Contenido: 100ml.&nbsp;</p>

<p>&nbsp;</p>

<p>Dosis y Administaración:&nbsp;Intramuscular, Inyectable, Subcutánea.</p>

<p>Bovinos 1,5 ml a 3 ml cada 100 kg.</p>

<p>Porcinos 1,5 ml cada 100 kg.</p>

<p>Ovinos y Caprinos 1,0 ml cada 50 kg.</p>

<p>Equinos 1,0 ml cada 100 kg.</p>

<p>Caninos 1,0 ml cada 20 kg.</p>

<p>Felinos 0,5 ml cada 4 kg.</p>

<p>En terneros, novillos, corderos, borregos y lechones, no deberá administrarse más de 2 ml por animal. En aquellos animales donde se requiera aplicar más de 5 ml del producto, desdoblar la aplicación.</p>
",+ INFO,"<p>&nbsp;</p>
",,,,,,,,,,,,,,,
