id,title,price,laboratory,description,subcategory,subcategories,animalbreeds,volume,image,drugs,dose,externallink
product_eb90318a-69c7-f3fc-f31f-cc3435b85a45,Dardox Konig 5lt.,480862,,"Dardox es un antiparasitario externo de aplicación tópica, formulado a base de la combinación de flumetrina y eprinomectina. Está autorizado para el control estratégico de garrapatas, sarna y piojos chupadores y masticadores. Dardox es el primer pour on sarnicida, garrapaticida y piojicida del mercado. Posee 7 características como producto para el control de parásitos externos: su efecto garrapaticida, sarnicida, piojicida, su bajo tiempo de retiro de 5 días en carne y 24 hs en leche, y su alta biodisponibilidad lo convierten en un producto de primera elección. - Para: Bovinos.",Antiparasitarios Pour-on,"[""Antiparasitarios Pour-on"",""Sarna"",""Konig"",""Antiparasitarios Externos""]","[""Bovinos""]",,https://static.wixstatic.com/media/06b954_6a7d4ff81e2e468f81373e81e89c20b9~mv2.png,"[""&nbsp;Cada 100 mL contiene:""]",,https://www.koniglab.com/en/producto/dardox/
product_63b2be70-b606-1d59-5255-2c1c93a8d272,"Pomada Curabichera Bactrovet Plata Konig 1,2kg.",46430,,"Antimiásico, repelente, bactericida, antifúngico, cicatrizante, epitelizador y hemostático - Tratamiento de todo tipo de heridas en todas las especies - Tratamiento y prevención de bicheras en intervenciones quirúrgicas como castración, y heridas de cualquier origen - Heridas en general. - Para: Bovinos y Equinos.",Konig,"[""Konig"",""Antiparasitarios Externos""]","[""Bovinos"",""Equinos""]",,https://static.wixstatic.com/media/06b954_80d24fdf84a94958a3d4bc9e26cafa2d~mv2.png,"[""&nbsp;Cada 100 gramos contiene:""]",,http://www.koniglab.com/producto/bactrovet-plata-pasta/
product_ec15408d-dd50-5067-491b-751d6f7d4e26,Bovikalc Boehringer Ingelheim x 24 Bolos,281051.75,,Aporte de calcio por via oral. - Para Bovinos.,Boehringer Ingelheim,"[""Boehringer Ingelheim"",""Vitamínicos y Mineralizantes""]","[""Bovinos""]",,https://static.wixstatic.com/media/06b954_3e40ada2544b4f5e8929fb9dccaea570~mv2.png,"[""&nbsp;Cloruro de calcio, Sulfato de calcio&nbsp;mono y diglicéridos de ácidos grasos esterificados con ácido acético.""]",,https://www.boehringer-ingelheim.com/sa/salud-animal/productos/bovikalcr
product_85038c9f-69e4-6354-d478-148632ef0cac,Ecto Tak Zoovet x 5lt.,,,Antiparasitario externo - Garrapaticida sistémico pour on- Para: Bovinos.,Zoovet,"[""Zoovet"",""Antiparasitarios Pour-on"",""Antiparasitarios Externos""]","[""Bovinos""]",,https://static.wixstatic.com/media/06b954_b76e8ffb68fa40b88beefe2eb7e66736~mv2.png,"[""Fluazurón 2,5%.""]",,https://www.zoovet.com.ar/grandes-animales/item/328-ecto-tak
product_d9f89f7f-29ca-dff0-4fb1-2be877d70856,Hepatone Richmond 250ml.,,,"Protector y estimulante de la función hepática - Para: Bovinos, Equinos y Ovinos.",Antidiarreicos y Carminativos,"[""Antidiarreicos y Carminativos"",""Richmond""]","[""Bovinos"",""Ovinos"",""Equinos""]",,https://static.wixstatic.com/media/06b954_5e5517ddbef14b228e48a75c8af74e95~mv2.png,"[""&nbsp;""]",,http://www.richmondvet.com.ar/?seccion=productos&amp;sub=1&amp;cat=30&amp;id=31&amp;pg=1
product_d73e630f-3736-8ed3-312b-adcb58b6043d,DIB 1gr Zoetis Syntex 10 dispositivos.,,,"El Dispositivo Intravaginal Bovino Zoetis (DIB) es un dispositivo intravaginal impregnado de progesterona utilizado para la regulación del ciclo estral en bovinos. La progesterona liberada a partir de la colocación del dispositivo tiene un papel importante sobre la dinámica folicular ovárica. Los niveles supraluteales &gt; 1 ng/ mL obtenidos a los pocos minutos de la introducción del dispositivo, provocan la regresión del folículo dominante y aceleran el recambio de las ondas foliculares. Esta interrupción de la secreción folicular de estrógeno e inhibina, produce el aumento de FSH responsable del inicio de la siguiente onda folicular. Por otro lado, la extracción del dispositivo provoca la caída de progesterona a niveles subluteales &lt; 1 ng/mL, que inducen el incremento de la frecuencia de los pulsos de LH, el crecimiento y la persistencia del folículo dominante con concentraciones muy altas de estradiol, que provoca por un lado el celo y a nivel endócrino inducen el pico de LH que es seguido por la ovulación. - Para: Bovinos.",Sincronizador de Celo y Reproducción,"[""Sincronizador de Celo y Reproducción"",""Zoetis"",""Syntex""]","[""Bovinos"",""Ovinos""]",,https://static.wixstatic.com/media/06b954_6076b4a48f5446b8bac4e08585606b1a~mv2.png,,,
product_82aba63a-839e-ab8a-aec8-6834247b7cf3,Tiamina Rio de Janeiro 50ml.,,,Profilaxis y tratamiento de estados carenciales de tiamina.. - Para Bovinos y Equinos.,Vitamínicos y Mineralizantes,"[""Vitamínicos y Mineralizantes"",""Rio de Janeiro""]","[""Bovinos"",""Equinos""]",,https://static.wixstatic.com/media/06b954_d7a85f13d08848f7ad4df9f32ae78c6f~mv2.png,"[""&nbsp;Vitamina B110g""]",,http://www.allignanihnos.com.ar/#/landing/detalleProducto/91
product_cf33cc25-4e7a-46d9-f52f-b6238b7d3dc8,Birmicina E25 Burnet 40ml,5323.4,,"el sulfato de estreptomicina es un antibiótico aminoglucósido especialmente orientado hacia los microorganismos Gram negativos y Gram positivos. Difunde con rapidez por todo el organismo alcanzando incluso, al humor acuoso y vítreo. Supera con facilidad la placenta, pasa al líquido amniótico y a la sangre fetal, en la que logra concentraciones cercanas a las de la mitad de la sangre materna. - Para: Bovinos, Ovinos y Equinos.",Antibióticos Inyectables,"[""Antibióticos Inyectables"",""Otros"",""Varios""]","[""Bovinos"",""Ovinos"",""Equinos""]",,https://static.wixstatic.com/media/06b954_9adbe47cf55e45e6be35e349788be894~mv2.png,"[""Estreptomicina sulfato 25 g.""]",,https://burnet.com.ar/birmicinae25/
product_6dcf5100-9be9-6024-0dcb-9aac6829dbad,Lidocalm Pro-Ser x100,,,Solución anestésica a base de Lidocaína para animales grandes y pequeños. - Para: Bovinos y Equinos.,Antibióticos Inyectables,"[""Antibióticos Inyectables"",""Otros"",""Varios""]","[""Bovinos"",""Equinos""]",,https://static.wixstatic.com/media/06b954_d0a12d241ec44a8b8337e41320ec885d~mv2.png,"[""&nbsp;Lidocaina:2 g""]",,http://www.labproser.com.ar/prod_03.htm
product_01b61f8c-6be5-5308-76ba-405f1445501a,Fortevit ADE Leon Pharma 100ml.,13698.75,,"Mineralizante - Vitamínico. Solución inyectable. - Para: Bovinos, Equinos y Ovinos.",Vitamínicos y Mineralizantes,"[""Vitamínicos y Mineralizantes"",""Leon Pharma""]","[""Bovinos"",""Ovinos"",""Equinos""]",,https://static.wixstatic.com/media/06b954_6e0573375dc64bceab8f5c9787752e39~mv2.png,"[""&nbsp;Vitamina A 25.000.000 UI""]",,&nbsp;
